State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Anantapur,Anantapur,Mousambi(Sweet Lime),Mousambi,Medium,11-09-2025,800,1600,1100
Andhra Pradesh,Chittor,Palamaner,Cabbage,Cabbage,FAQ,11-09-2025,600,900,700
Andhra Pradesh,Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,11-09-2025,800,1200,1000
Andhra Pradesh,Chittor,Palamaner,Potato,(Red Nanital),FAQ,11-09-2025,1000,2000,1500
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Amruthapani,Large,11-09-2025,2200,2900,2700
Andhra Pradesh,Guntur,Guntur,Dry Chillies,Guntur,FAQ,11-09-2025,10000,15400,14000
Andhra Pradesh,Guntur,Guntur,Dry Chillies,Red,FAQ,11-09-2025,10000,15200,14000
Andhra Pradesh,Guntur,Guntur,Dry Chillies,White,FAQ,11-09-2025,5000,7500,6900
Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),Black Gram (Whole),Non-FAQ,11-09-2025,6400,6800,6600
Andhra Pradesh,Krishna,Tiruvuru,Rice,Fine,FAQ,11-09-2025,4300,4500,4400
Andhra Pradesh,Kurnool,Kurnool,Sunflower,Bold,Non-FAQ,11-09-2025,6080,6080,6080
Andhra Pradesh,West Godavari,Denduluru,Lime,Lime,Medium,11-09-2025,1800,2800,2300
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,11-09-2025,300,2300,1300
Chattisgarh,Bilaspur,Jairamnagar,Paddy(Dhan)(Common),I.R. 36,FAQ,11-09-2025,1700,1700,1700
Chattisgarh,Durg,Durg,Onion,Onion,Non-FAQ,11-09-2025,1800,2000,1800
Chattisgarh,Durg,Durg,Potato,Local,Non-FAQ,11-09-2025,1600,1800,1800
Chattisgarh,Janjgir,Shivrinarayanpur,Paddy(Dhan)(Common),MTU-1010,Non-FAQ,11-09-2025,1650,1650,1650
Chattisgarh,Jashpur,Kotba,Paddy(Dhan)(Common),1001,Non-FAQ,11-09-2025,1900,1900,1900
Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),I.R. 36,Non-FAQ,11-09-2025,1900,1900,1900
